song,setting_key,mood_key,description,location,link,license
Adding The Sun by Kevin MacLeod,Savannah,Epic,Think Lion King,audio/half-mystery-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5708-adding-the-sun,https://filmmusic.io/standard-license
Adventures in Adventureland,Water,Travel/Background,Bubbly reeds suggest possible lakes or pools,audio/adventures-in-adventureland-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/8287-adventures-in-adventureland,https://filmmusic.io/standard-license
Ancient Rite by Kevin MacLeod,Ritual,Ominous,Slow march like funeral of sacrifice,audio/ancient-rite-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5739-ancient-rite,https://filmmusic.io/standard-license
Ancient Winds Preview by Kevin MacLeod,Forest,Serene,Wind through the leaves sounds like rain,audio/ancient-winds-preview-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5725-ancient-winds-preview,https://filmmusic.io/standard-license
Canon In D For Two Harps by Kevin MacLeod,Formal,Ceremony,Canon in D is good for wedding or coronation,audio/canon-in-d-for-two-harps-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/6959-canon-in-d-for-two-harps,https://filmmusic.io/standard-license
Crowd Hammer by Kevin MacLeod,Jungle,Travel/Background,Drums and flute give a driving forward beat,audio/crowd-hammer-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/4983-crowd-hammer,https://filmmusic.io/standard-license
Crusade Heavy Industry by Kevin MacLeod,Work,Somber,Heavy blacksmith forging in background,audio/crusade-heavy-industry-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/4678-crusade-heavy-industry,https://filmmusic.io/standard-license
Ebbs And Flows Preview by Kevin MacLeod,Water,Serene,Waves on the shore -expectant feel,audio/ebbs-and-flows-preview-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5727-ebbs-and-flows-preview,https://filmmusic.io/standard-license
Elf Meditation Preview by Kevin MacLeod,Water,Serene,Waves on the shore -nighttime feel,audio/elf-meditation-preview-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5728-elf-meditation-preview,https://filmmusic.io/standard-license
Energizing by Kevin MacLeod,Savannah,Serene,Could also be light jungle setting -expectant,audio/energizing-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5709-energizing,https://filmmusic.io/standard-license
Epic Movie Adventure Cinematic by Alex-Productions,Any,Epic,Very sweeping score w/vocals,audio/epic-movie-adventure-cinematic-by-alex-productions-from-filmmusic-io.mp3,https://filmmusic.io/song/9198-epic-movie-adventure-cinematic,https://filmmusic.io/standard-license
Fantasy Ambience by Alexander Nakarada,Northern,Medieval,Stark feel to it. Good for Vikings,audio/fantasy-ambience-by-alexander-nakarada-from-filmmusic-io.mp3,https://filmmusic.io/song/4953-fantasy-ambience,https://filmmusic.io/standard-license
Fantasy Motion [loop ready] by Alexander Nakarada,Any,Travel/Background,"Sad sounding, slow moving, guitar",audio/fantasy-motion-loop-ready-by-alexander-nakarada-from-filmmusic-io.mp3,https://filmmusic.io/song/8059-fantasy-motion-loop-ready,https://filmmusic.io/standard-license
Half Mystery by Kevin MacLeod,Forest,Mysterious,Electronic and rhythmic forest or chem lab,audio/half-mystery-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5026-half-mystery,https://filmmusic.io/standard-license
Holy Wars by Music Files,Any,Travel/Background,Driving beat in minor key. Determined,audio/holy-wars-by-musiclfiles-from-filmmusic-io.mp3,https://filmmusic.io/song/9238-holy-wars,https://filmmusic.io/standard-license
Hot Pursuit by Kevin MacLeod,Any,Chase,Urgent feeling,audio/hot-pursuit-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/3884-hot-pursuit,https://filmmusic.io/standard-license
Indore by Kevin MacLeod,Mid Eastern,Serene,Could be used as eastern tavern music,audio/indore-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/4988-indore,https://filmmusic.io/standard-license
Journey To Ascend by Kevin MacLeod,Jungle,Travel/Background,Moving through jungle forest evoked,audio/journey-to-ascend-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/8951-journey-to-ascend,https://filmmusic.io/standard-license
Leaving Home by Kevin MacLeod,Any,Ominous,Tension building,audio/leaving-home-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/4708-leaving-home,https://filmmusic.io/standard-license
Lotus by Kevin MacLeod,Jungle,Travel/Background,All percussion. Could be used as jungle tension also,audio/lotus-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5046-lotus,https://filmmusic.io/standard-license
Midnight Tale by Kevin MacLeod,Town,Tavern,Classic medieval tavern lute,audio/midnight-tale-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/4710-midnight-tale,https://filmmusic.io/standard-license
Might & Magic by Alexander Nakarada,Any,Travel/Background,Strong fantasy feel - good for fey settings,audio/might--magic-by-alexander-nakarada-from-filmmusic-io.mp3,https://filmmusic.io/song/9185-might-magic,https://filmmusic.io/standard-license
Morgana Rides by Kevin MacLeod,Any,Ominous,Driving slow beat suspense raiser,audio/morgana-rides--by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/4080-morgana-rides-,https://filmmusic.io/standard-license
Night Vigil by Kevin MacLeod,Any,Somber,Slow and sad with vocals,audio/night-vigil-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5746-night-vigil,https://filmmusic.io/standard-license
Rising Tide by Kevin MacLeod,Savannah,Travel/Background,Driving beat with percussion. Gotta get movin',audio/rising-tide-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5027-rising-tide,https://filmmusic.io/standard-license
Rising Tide (faster) by Kevin MacLeod,Savannah,Chase,Driving beat with percussion. Gotta get movin' now!,audio/rising-tide-faster-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5028-rising-tide-faster-,https://filmmusic.io/standard-license
Scp x1x (Gateway to Hell) by Kevin MacLeod,Dungeon,Ominous,Electronic and industrial sounding,audio/scp-x1x-gateway-to-hell-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/6732-scp-x1x-gateway-to-hell-,https://filmmusic.io/standard-license
SCP-x4x (Mind Leech) by Kevin MacLeod,Dungeon,Ominous,Electronic droning hum,audio/scp-x4x-mind-leech-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/6734-scp-x4x-mind-leech-,https://filmmusic.io/standard-license
Spc X2x (Unseen Presence) by Kevin MacLeod,Dungeon,Ominous,Electronic cavernous dronw with drips - wet,audio/spc-x2x-unseen-presence-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/6738-spc-x2x-unseen-presence-,https://filmmusic.io/standard-license
Strength Of The Titans by Kevin MacLeod,Any,Epic,Just Big. Adventure awaits. or a large battle,audio/strength-of-the-titans-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5744-strength-of-the-titans,https://filmmusic.io/standard-license
The Curtain Rises by Kevin MacLeod,Any,Uplifting,Beginning of adventure feel.,audio/the-curtain-rises-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5007-the-curtain-rises,https://filmmusic.io/standard-license
The Fantasy of Love by Music Files,Any,Serene,"Bittersweet. Lilting piano, with some minor notes.",audio/the-fantasy-of-love-by-musiclfiles-from-filmmusic-io.mp3,https://filmmusic.io/song/8648-the-fantasy-of-love,https://filmmusic.io/standard-license
The Ice Giants by Kevin MacLeod,Any,Travel/Background,Minor key. Heavy marching beat.,audio/the-ice-giants-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5745-the-ice-giants,https://filmmusic.io/standard-license
Trouble With Tribals by Kevin MacLeod,Jungle,Travel/Background,Driving percussion. Suspenseful,audio/trouble-with-tribals-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/6621-trouble-with-tribals,https://filmmusic.io/standard-license
Volatile Reaction by Kevin MacLeod,Any,Travel/Background,Dramatic. Adventurous. Good for Jungle,audio/volatile-reaction-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5014-volatile-reaction,https://filmmusic.io/standard-license
